"","x"
"Rheinheimera",9
"Aeromonas",8
"Cetobacterium",8
"Runella",6
"Peptostreptococcus",6
"Pseudomonas",5
"Cloacibacterium",5
"Photobacterium",5
"Haliscomenobacter",5
"Tychonema",5
"Plesiomonas",4
"Acinetobacter",4
"Paucibacter",4
"Shewanella",4
"Pseudoduganella",4
"Chitinimonas",4
"Fluviicola",4
"Aurantisolimonas",4
"Fusobacterium",4
"Caenimonas",4
"Defluviimonas",4
"Ensifer",4
"Bosea",4
"Chitinibacter",3
"Crenobacter",3
"Flavobacterium",3
"A-N-P-R",3
"Luteimonas",3
"Paracoccus",3
"Gemmobacter",3
"Lysinibacillus",3
"ZOR0006",2
"Undibacterium",2
"Weissella",2
"Yersinia",2
"Phreatobacter",2
"Ignatzschineria",2
"Lactobacillus",2
"Mycoplasma",1
"Paraclostridium",1
"Silvanigrella",1
"Bacteroides",1
