"genus_1","genus_2","instability","weight"
"Chitinibacter","Paucibacter",0,0.426053047180176
"ZOR0006","Cetobacterium",0,0.413568049669266
"Aurantisolimonas","Fluviicola",0,0.385514140129089
"Shewanella","Acinetobacter",0,0.30706399679184
"Acinetobacter","Pseudomonas",0,0.239420607686043
"Paucibacter","Pseudomonas",0,0.236804723739624
"Crenobacter","Chitinibacter",0.0198,0.237530127167702
"Fluviicola","Cloacibacterium",0.0768000000000001,0.276648283004761
"Weissella","Mycoplasma",0.0768000000000001,0.26610404253006
"Peptostreptococcus","Tychonema",0.095,0.0921013280749321
"Chitinibacter","Pseudomonas",0.0950000000000001,0.139839634299278
"Flavobacterium","Paucibacter",0.1128,0.152888417243958
"Paraclostridium","Plesiomonas",0.1302,0.214973494410515
"Aurantisolimonas","Cloacibacterium",0.1302,0.148417726159096
"Peptostreptococcus","Photobacterium",0.1472,0.0400747060775757
"Caenimonas","Undibacterium",0.18,0.35449755191803
"Ensifer","Defluviimonas",0.1958,0.326800227165222
"Cloacibacterium","Flavobacterium",0.2112,0.160557627677917
"Runella","Aeromonas",0.2112,0.0553452409803867
"Lactobacillus","Peptostreptococcus",0.2408,0.0496043004095554
"Peptostreptococcus","Rheinheimera",0.2408,0.0168747641146183
"Ensifer","A-N-P-R",0.255,0.230494260787964
"Plesiomonas","Cetobacterium",0.255,0.0396246016025543
"Rheinheimera","Cetobacterium",0.255,0.0105718160048127
"Rheinheimera","Plesiomonas",0.2688,0.0392134934663773
"Bosea","Gemmobacter",0.2688,0.273975372314453
"Pseudomonas","Aeromonas",0.2952,0.0697219744324684
"Yersinia","Photobacterium",0.3078,0.489932984113693
"Tychonema","Paracoccus",0.3078,0.0575551353394985
"Ensifer","Chitinimonas",0.32,0.208499133586884
"Haliscomenobacter","Aeromonas",0.3318,0.124128952622414
"Caenimonas","Cetobacterium",0.3318,0.075718529522419
"ZOR0006","Plesiomonas",0.3432,0.128810882568359
"Acinetobacter","Aeromonas",0.3432,0.0097610168159008
"Haliscomenobacter","Luteimonas",0.3542,0.409576088190079
"Luteimonas","Rheinheimera",0.3648,0.0219188369810581
"Pseudoduganella","Aeromonas",0.375,0.0942086428403854
"Paracoccus","Photobacterium",0.3848,0.0395050272345543
"Cetobacterium","Aeromonas",0.4032,0.121294863522053
"Tychonema","Photobacterium",0.42,0.0989539101719856
"Lysinibacillus","Tychonema",0.42,0.0690950602293015
"Tychonema","Fusobacterium",0.4352,0.247402504086494
"Bosea","Runella",0.4352,0.1306411921978
"Bosea","Aurantisolimonas",0.4352,0.0907278433442116
"Lactobacillus","Rheinheimera",0.455,0.141662612557411
"Shewanella","Pseudomonas",0.4608,0.0381300710141659
"Crenobacter","Cetobacterium",0.4608,0.0346553139388561
"Rheinheimera","Chitinimonas",0.4712,0.0201454795897007
"Phreatobacter","Aurantisolimonas",0.4758,0.0592925287783146
"Bosea","Cloacibacterium",0.4758,0.0219529308378696
"A-N-P-R","Pseudoduganella",0.4758,0.00722178723663092
"Rheinheimera","Undibacterium",0.48,0.148545786738396
"Paracoccus","Fusobacterium",0.48,0.0821958482265472
"Haliscomenobacter","Pseudoduganella",0.48,0.0137170311063528
"Bacteroides","Peptostreptococcus",0.4838,0.487290591001511
"Rheinheimera","Aeromonas",0.4838,0.246920615434647
"Defluviimonas","Chitinimonas",0.4838,0.0194338541477919
"Lysinibacillus","Ignatzschineria",0.4872,0.517018496990204
"Peptostreptococcus","Silvanigrella",0.4872,0.481318533420563
"Defluviimonas","Rheinheimera",0.4872,0.0959047377109528
"Haliscomenobacter","Ignatzschineria",0.4872,0.0569738112390041
"Cloacibacterium","Crenobacter",0.4872,0.0498167462646961
"Runella","Acinetobacter",0.4872,0.0329890549182892
"Haliscomenobacter","Ensifer",0.4902,0.11936978250742
"Runella","Caenimonas",0.4902,0.0846605002880096
"Runella","Pseudoduganella",0.4928,0.0536244511604309
"Lysinibacillus","Yersinia",0.4928,0.339037418365479
"Fusobacterium","Photobacterium",0.4928,0.120979942381382
"Fluviicola","Flavobacterium",0.495,0.0414928011596203
"Luteimonas","Cetobacterium",0.495,0.153689742088318
"Runella","Gemmobacter",0.495,0.0268998593091965
"Defluviimonas","Phreatobacter",0.4982,0.0390083380043507
"Gemmobacter","Caenimonas",0.4982,0.0327237769961357
"Fluviicola","Paucibacter",0.4992,0.00364547269418836
"Fusobacterium","Weissella",0.4998,0.0948845520615578
"Chitinimonas","A-N-P-R",0.4998,0.0618510134518147
"Shewanella","Cetobacterium",0.4998,0.0582867935299873
"Shewanella","Aeromonas",0.4998,0.0426794402301311
